Site,Date,Dy,Solar,Reflect,Tave,Tmax,Tmin,RHave,RHmin,Wind,WindMax,Precip,SnowD,Tsnow,IRTSurfA,IRTSurfX,IRTSurfN,Tsoil005,Tsoil15,Tsoil50,SoilH2O,Vapres,vpdX,ClrSky
PK,23-Mar-19,82,9.3,6.6,1.8,9.2,-2.7,82,47.1,0.9,4.1,0,0.679,-0.2,-1.1,1.1,-5.6,NA,NA,NA,NA,0.549,0.617,19.17
PK,24-Mar-19,83,8.75,6.18,3,9.5,-2.7,79.4,48.4,1,4.4,4,0.653,-0.1,-0.7,0.9,-5.5,NA,NA,NA,NA,0.574,0.612,19.43
PK,25-Mar-19,84,12.94,9.4,1.8,6.9,-0.4,83.7,57.1,1.5,5.6,2,0.593,-0.1,-0.2,1,-1.6,NA,NA,NA,NA,0.566,0.425,19.7
PK,26-Mar-19,85,11.28,9.53,-1.4,4.7,-10.2,85.2,48.4,1.5,4.9,9.92,0.643,-0.3,-5.1,1.3,-19,NA,NA,NA,NA,0.414,0.441,19.96
PK,27-Mar-19,86,18.58,15.17,-2.4,6.3,-11.9,75.9,39.7,1.1,4.8,0,0.603,-0.1,-9.2,1,-21,NA,NA,NA,NA,0.378,0.574,20.22
PK,28-Mar-19,87,12.34,9.35,-0.2,6.5,-7.9,65.3,37.6,1.1,5,0,0.592,-0.1,-6.1,1.1,-14.9,NA,NA,NA,NA,0.365,0.606,20.48
PK,29-Mar-19,88,16.52,12.35,-1,8.1,-8.6,68.7,30.1,1,5.4,0,0.59,-0.1,-7.3,0.8,-15.3,NA,NA,NA,NA,0.324,0.752,20.74
PK,30-Mar-19,89,19.19,13.94,0.9,10.7,-9,64.6,27,0.8,6.2,0,0.574,-0.1,-5.4,1.2,-15.3,NA,NA,NA,NA,0.346,0.935,21
PK,31-Mar-19,90,15.23,11.38,1.7,10.3,-6,71.2,27,0.9,5,2.86,0.562,0,-2.9,1.1,-10.4,NA,NA,NA,NA,0.338,0.914,21.27
PK,1-Apr-19,91,20.89,14.88,-0.4,8.1,-8.4,65.3,26.8,1.2,5.2,0,0.549,0.2,-6.4,0.6,-14.1,NA,NA,NA,NA,0.29,0.792,21.52
PK,2-Apr-19,92,20.58,14.5,0.7,9.2,-8.6,60.8,20.9,1.1,5.2,0,0.544,0.2,-5.9,0.8,-14.9,NA,NA,NA,NA,0.243,0.92,21.78
